time,x,y,z
880,279,280,157
881,279,280,159
882,277,281,160
883,276,281,158
884,279,280,158
885,279,280,158
886,278,280,159
887,277,281,159
888,278,281,157
889,279,280,155
890,279,281,157
891,278,281,158
892,276,281,156
893,279,281,155
894,279,281,156
895,278,280,157
896,277,281,157
897,278,281,155
898,281,281,154
899,278,281,157
900,277,281,157
901,276,281,156
902,279,281,155
903,279,281,157
904,278,279,158
905,277,281,155
906,278,280,156
907,279,280,154
908,278,280,158
909,277,281,158
910,276,281,157
911,279,280,155
912,279,280,158
913,278,279,158
914,277,281,158
915,278,281,156
916,279,280,155
917,278,281,158
918,277,281,159
919,276,281,157
920,279,281,157
921,279,281,159
922,277,279,159
923,277,281,159
924,279,280,157
925,279,280,155
926,278,280,158
927,277,281,159
928,277,280,157
929,279,281,157
930,279,280,157
931,277,280,158
932,277,281,157
933,279,281,156
934,278,281,155
935,278,281,157
936,277,281,158
937,276,281,156
938,279,281,155
939,279,281,157
940,277,280,157
941,277,281,156
942,278,282,155
943,277,281,154
944,278,281,156
945,278,281,158
946,277,281,155
947,279,281,155
948,279,281,157
949,277,280,157
950,277,280,157
951,279,281,156
952,279,280,155
953,278,281,158
954,278,280,159
955,277,280,157
956,279,280,156
957,279,280,158
958,277,279,158
959,277,280,158
960,279,281,157
961,279,280,156
962,278,280,158
963,277,281,159
964,277,280,157
965,280,280,156
966,279,281,158
967,277,280,158
968,278,281,157
969,279,282,154
970,279,281,156
971,277,281,158
972,277,282,159
973,277,280,158
974,279,281,156
975,279,281,158
976,278,280,158
977,277,281,157
978,279,281,157
979,279,280,156
980,278,281,158
981,278,281,159
982,278,281,157
983,279,281,156
984,280,281,158
985,278,280,159
986,278,281,158
987,279,282,156
988,279,281,157
989,278,281,157
990,278,281,159
991,278,281,157
992,279,280,156
993,279,281,158
994,277,281,158
995,277,281,157
996,278,282,156
997,279,281,156
998,277,281,157
999,276,281,158
1000,278,281,155
1001,279,280,155
1002,279,280,156
1003,277,280,157
1004,276,281,156
1005,278,281,156
1006,279,282,156
1007,277,280,158
1008,277,281,158
1009,278,280,157
1010,279,280,156
