time,x,y,z
647,279,281,159
648,280,280,158
649,277,280,158
650,277,281,157
651,279,282,156
652,279,280,155
653,277,281,158
654,277,281,158
655,277,279,156
656,279,281,156
657,280,281,157
658,277,280,158
659,278,280,157
660,279,281,156
661,279,280,155
662,276,281,158
663,277,281,158
664,278,280,156
665,279,280,155
666,279,281,158
667,278,280,158
668,277,281,156
669,279,282,156
670,279,281,156
671,278,281,158
672,277,281,158
673,278,281,156
674,279,280,156
675,280,281,158
676,277,281,158
677,277,281,155
678,278,282,156
679,279,281,156
680,278,281,158
681,277,281,158
682,278,280,156
683,279,280,156
684,279,281,158
685,277,280,158
686,277,281,157
687,279,282,156
688,279,281,155
689,277,281,158
690,277,281,158
691,278,281,157
692,279,281,156
693,279,281,157
694,278,281,158
695,277,281,157
696,279,280,156
697,279,280,157
698,278,279,158
699,277,282,159
700,278,280,157
701,279,281,155
702,279,281,157
703,277,281,158
704,277,280,157
705,279,281,157
706,279,280,156
707,278,280,157
708,277,281,158
709,278,281,156
710,279,281,155
711,278,281,157
712,278,281,158
713,276,281,156
714,278,281,156
715,279,280,157
716,278,280,158
717,278,281,157
718,278,281,156
719,279,281,155
720,278,281,158
721,276,281,158
722,276,281,156
723,279,281,156
724,279,281,157
725,278,280,158
726,277,281,158
727,278,281,156
728,279,280,155
729,278,281,158
730,278,281,158
731,276,281,157
732,279,280,156
733,280,281,157
734,278,280,158
735,277,281,158
736,279,281,156
737,279,280,155
738,278,281,158
739,277,281,158
740,276,280,157
741,279,280,157
742,279,281,158
743,278,278,158
744,278,281,158
745,279,281,156
746,279,281,153
747,278,281,158
748,278,281,158
749,276,281,157
750,280,281,156
751,279,281,157
752,277,281,159
753,277,282,158
754,278,281,157
755,279,281,155
756,278,281,157
757,277,281,159
758,276,281,156
759,279,281,156
760,279,280,157
761,278,279,158
762,277,281,157
763,279,281,156
764,279,280,155
765,278,281,158
766,277,281,160
767,276,281,157
768,279,281,156
769,280,281,158
770,277,280,158
771,277,282,158
772,279,281,157
773,279,280,155
774,278,281,158
775,277,281,158
776,276,281,157
777,278,281,156
778,279,281,158
779,278,280,157
780,277,281,158
781,278,282,157
782,279,281,156
783,278,281,158
784,277,281,159
785,276,280,157
786,279,281,156
787,279,280,158
788,277,280,158
789,278,281,158
790,279,282,157
791,279,281,156
792,278,281,158
793,277,281,159
794,277,281,157
795,279,280,156
796,279,281,158
797,278,281,159
798,277,281,157
799,279,282,157
800,280,281,156
801,278,281,158
802,277,281,159
803,277,280,157
804,279,280,156
805,279,281,158
806,277,280,158
807,277,281,157
808,279,281,157
809,279,281,156
810,278,281,158
811,277,281,159
812,278,281,157
813,279,281,157
814,280,281,158
815,278,280,159
816,277,281,158
817,279,282,156
818,278,281,156
819,277,281,158
820,277,282,159
821,278,281,157
822,279,281,157
823,279,281,158
824,278,280,158
825,277,281,157
826,279,281,157
827,279,281,157
828,278,281,158
829,277,281,159
830,278,281,157
831,279,281,157
832,279,281,158
833,277,280,158
834,277,280,157
835,279,281,155
836,279,281,157
837,278,280,158
838,277,282,159
839,279,281,157
840,279,281,156
841,279,281,158
842,277,280,158
843,276,281,157
844,278,281,157
845,278,282,157
846,277,280,158
847,277,281,159
848,278,281,157
849,279,280,156
850,279,280,158
